CountryName,CountryCode,Region,RegionCode,Year2015,literacy,GNI,breastfeeding,water,sanitation,birth
Syrian Arab Republic,SYR,Middle East & North Africa,MEA,12.9,85,b,25,90,96,96
Tunisia,TUN,Middle East & North Africa,MEA,14,80,4360,19,97,90,99
United Arab Emirates,ARE,Middle East & North Africa,MEA,6.8,90,38620,_,100,98,100
"Yemen, Rep.",YEM,Middle East & North Africa,MEA,41.9,66,1330,45,55,53,36
Canada,CAN,North America,NAC,4.9,_,52200,_,100,100,100
United States,USA,North America,NAC,6.5,_,53670,_,99,100,_
Afghanistan,AFG,South Asia,SAS,91.1,32,700,54,64,29,39
Bangladesh,BGD,South Asia,SAS,37.6,59,900,90,85,57,34
Bhutan,BTN,South Asia,SAS,32.9,53,2460,66,98,47,65
India,IND,South Asia,SAS,47.7,63,1570,77,93,36,52
Maldives,MDV,South Asia,SAS,8.6,98,5600,68,99,99,99
Nepal,NPL,South Asia,SAS,35.8,57,730,93,88,37,36
Pakistan,PAK,South Asia,SAS,81.1,55,1380,56,91,48,52
Sri Lanka,LKA,South Asia,SAS,9.8,91,3170,84,94,92,99
Angola,AGO,Sub-Saharan Africa,SSF,156.9,71,5010,_,54,60,47
Benin,BEN,Sub-Saharan Africa,SSF,99.5,29,790,68,76,14,81
Botswana,BWA,Sub-Saharan Africa,SSF,43.6,87,7730,6,97,64,95
Burkina Faso,BFA,Sub-Saharan Africa,SSF,88.6,29,670,80,82,19,66
Burundi,BDI,Sub-Saharan Africa,SSF,81.7,87,280,79,75,47,60
Cabo Verde,CPV,Sub-Saharan Africa,SSF,24.5,85,3630,13,89,65,78
Cameroon,CMR,Sub-Saharan Africa,SSF,87.9,71,1270,24,74,45,64
Central African Republic,CAF,Sub-Saharan Africa,SSF,130.1,37,320,32,68,22,54
Chad,TCD,Sub-Saharan Africa,SSF,138.7,37,1020,59,51,12,23
Comoros,COM,Sub-Saharan Africa,SSF,73.5,76,880,57,_,_,82
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,SSF,98.3,79,2660,17,75,15,93
Cote d'Ivoire,CIV,Sub-Saharan Africa,SSF,92.6,99,13330,_,99,98,100
Equatorial Guinea,GNQ,Sub-Saharan Africa,SSF,94.1,95,14320,5,_,_,68
Eritrea,ERI,Sub-Saharan Africa,SSF,46.5,70,490,73,_,_,34
Ethiopia,ETH,Sub-Saharan Africa,SSF,59.2,39,470,82,52,24,10
Gabon,GAB,Sub-Saharan Africa,SSF,50.8,82,10650,4,92,41,89
"Gambia, The",GMB,Sub-Saharan Africa,SSF,68.9,52,510,31,90,60,57
Ghana,GHA,Sub-Saharan Africa,SSF,61.6,71,1760,37,87,14,68
Guinea,GIN,Sub-Saharan Africa,SSF,93.7,25,460,66,75,19,45
Guinea-Bissau,GNB,Sub-Saharan Africa,SSF,92.5,57,520,65,74,20,43
Kenya,KEN,Sub-Saharan Africa,SSF,49.4,72,930,54,62,30,44
Lesotho,LSO,Sub-Saharan Africa,SSF,90.2,76,1550,35,81,30,62
Liberia,LBR,Sub-Saharan Africa,SSF,69.9,43,410,44,75,17,46
Madagascar,MDG,Sub-Saharan Africa,SSF,49.6,64,440,83,50,14,44
Malawi,MWI,Sub-Saharan Africa,SSF,64,61,270,77,85,10,71
Mali,MLI,Sub-Saharan Africa,SSF,114.7,34,670,46,67,22,56
Mauritania,MRT,Sub-Saharan Africa,SSF,84.7,46,1060,36,50,27,65
Mauritius,MUS,Sub-Saharan Africa,SSF,13.5,89,9300,_,100,91,98
Mozambique,MOZ,Sub-Saharan Africa,SSF,78.5,51,590,52,49,21,54
Namibia,NAM,Sub-Saharan Africa,SSF,45.4,76,5840,28,92,32,81
Niger,NER,Sub-Saharan Africa,SSF,95.5,15,410,50,52,9,29
Nigeria,NGA,Sub-Saharan Africa,SSF,108.8,51,2760,35,64,28,38
Rwanda,RWA,Sub-Saharan Africa,SSF,41.7,66,620,84,71,64,69
Sao Tome and Principe,STP,Sub-Saharan Africa,SSF,47.3,70,1470,20,97,34,82
Senegal,SEN,Sub-Saharan Africa,SSF,47.2,52,1070,51,74,52,65
Seychelles,SYC,Sub-Saharan Africa,SSF,13.6,92,12530,_,96,97,_
Sierra Leone,SLE,Sub-Saharan Africa,SSF,120.4,44,680,48,60,13,60
South Africa,ZAF,Sub-Saharan Africa,SSF,40.5,94,7190,31,95,74,91
South Sudan,SSD,Sub-Saharan Africa,SSF,92.6,_,1120,38,57,9,19
Sudan,SDN,Sub-Saharan Africa,SSF,70.1,73,1130,40,55,24,23
Swaziland,SWZ,Sub-Saharan Africa,SSF,60.7,83,3080,11,74,57,82
Togo,TGO,Sub-Saharan Africa,SSF,78.4,60,530,64,61,11,59
Uganda,UGA,Sub-Saharan Africa,SSF,54.6,73,510,46,75,34,57
Zambia,ZMB,Sub-Saharan Africa,SSF,64,61,1480,42,63,43,47
Zimbabwe,ZWE,Sub-Saharan Africa,SSF,70.7,84,820,20,80,40,66
