CountryCode,RetionCode,RegionName
MRT,SSF,Sub-Saharan Africa
MUS,SSF,Sub-Saharan Africa
MOZ,SSF,Sub-Saharan Africa
NAM,SSF,Sub-Saharan Africa
NER,SSF,Sub-Saharan Africa
NGA,SSF,Sub-Saharan Africa
RWA,SSF,Sub-Saharan Africa
STP,SSF,Sub-Saharan Africa
SEN,SSF,Sub-Saharan Africa
SYC,SSF,Sub-Saharan Africa
SLE,SSF,Sub-Saharan Africa
SOM,SSF,Sub-Saharan Africa
ZAF,SSF,Sub-Saharan Africa
SSD,SSF,Sub-Saharan Africa
SDN,SSF,Sub-Saharan Africa
SWZ,SSF,Sub-Saharan Africa
TZA,SSF,Sub-Saharan Africa
TGO,SSF,Sub-Saharan Africa
UGA,SSF,Sub-Saharan Africa
ZMB,SSF,Sub-Saharan Africa
ZWE,SSF,Sub-Saharan Africa
